"Enabled","Habilitado"
"Title","Título"
"Submit URL","URL de Envio"
"Print your Boleto","Imprimir Boleto"
"Verify Payment Status","Consultar status do pagamento"
"Re-print your Boleto","Imprimir 2ª via do Boleto"
"Boleto barcode","Código de Barras Boleto"
"Pagarme Transaction Id:","Id Transação do Pagarme"
"Boleto expiration date:","Data da expiração do Boleto"
"Boleto receive paid status from PagarMe.","O Boleto recebeu status de pago do PagarMe."
"Production API Key","Chave da API de Produção"
"Production Hash Key","Chave Hash de Produção"
"Staging API Key","Chave da API de Testes"
"Staging Hast Key","Chave Hash de Homologação"
"Boleto Expiration Days","Dias para expiração do Boleto"
"Is production","É ambiente de produção"
"Pagarme Boleto Bancário configurations","Configurações do Boleto Bancário Pagarme"
